SaleID,Amount,ItemID,Quantity,AssistantID,BranchName,Notes
6778392,22.45,234424,10,126,Athlone,Fabulous Sale
7883454,167.89,1277689,2,343,Tullamore,
8988516,2445.62,16775645,3545,1222,Cork,
10093578,10.11,1277689,5,22,Athlone,Good Product
11198640,233.45,234424,32,13213,Dallas,
12303702,8585.74,3455634,435,33,Vladivostok,
13408764,55,1232,45,1222,Vladivostok,
14513826,955,16775645,2,33,Pyongyang,
15618888,788.52,16775645,56,33,Dallas,
16723950,9555.12,234424,84,33,Al Raqqah,
17829012,8.78,3455634,5,1222,Cork,
18934074,1,1232,9,126,Al Raqqah,
20039136,0,16775645,9,126,Cork,
21144198,28.63,1277689,4515,126,Athlone,
22249260,9944.6,234424,4,126,Pyongyang,
23354322,8.74,3455634,5,343,Dallas,
24459384,8.77,1232,65,1222,Pyongyang,
25564446,2722.88,16775645,5,22,Vladivostok,
26669508,855.21,16775645,65,13213,Athlone,
27774570,644.37,234424,56,33,Tullamore,
28879632,633.8,3455634,56,1222,Al Raqqah,
29984694,743.74,1232,7787,33,Cork,
31089756,144.63,234424,65,33,Cork,
32194818,5.7,1277689,89,33,Athlone,
33299880,522.36,16775645,8,1222,Dallas,
34404942,855.36,1277689,897,126,Al Raqqah,
35510004,455.79,234424,5,126,Pyongyang,
36615066,1.1,3455634,6,343,Pyongyang,
37720128,966.37,1232,2,1222,Vladivostok,
38825190,5.27,16775645,2,22,Pyongyang,
39930252,444.5,16775645,232,13213,Dallas,
41035314,214.59,234424,2,33,Al Raqqah,
42140376,6.3,3455634,1,1222,Cork,
43245438,455.17,1232,1,33,Al Raqqah,
44350500,658.74,16775645,1,33,Cork,
45455562,75755.8,1277689,2313,33,Athlone,
46560624,0.01,234424,1165,1222,Pyongyang,
47665686,855.96,3455634,33,126,Dallas,
48770748,44444,1232,3,126,Pyongyang,
49875810,8555.6,16775645,3131,343,Vladivostok,
50980872,444577.2,16775645,8,1222,Pyongyang,
52085934,8277,234424,1,22,Dallas,
53190996,987.65,3455634,561,13213,Al Raqqah,
54296058,123.54,1232,6551,33,Cork,